"","scrubbed_species_binomial"
"32072","Phytolacca chilensis"
"32074","Phytolacca dioica"
"32321","Phytolacca heterotepala"
"32323","Phytolacca icosandra"
"32823","Phytolacca meziana"
"32875","Phytolacca octandra"
"33011","Phytolacca rivinoides"
"34299","Phytolacca rugosa"
"34801","Phytolacca sandwicensis"
"34818","Phytolacca sanguinea"
"34853","Phytolacca tetramera"
"34870","Phytolacca thyrsiflora"
"35131","Phytolacca weberbaueri"
"35162","Pisonia aculeata"
"35753","Pisonia acuminata"
"35757","Pisonia albida"
"35792","Pisonia ambigua"
"35867","Pisonia amplifolia"
"35869","Pisonia brevipetiolata"
"35870","Pisonia brunoniana"
"35908","Pisonia byrsonimifolia"
"35909","Pisonia calophylla"
"35910","Pisonia capitata"
"35955","Pisonia coccinea"
"35956","Pisonia comosa"
"35958","Pisonia cordifolia"
"35964","Pisonia cuneifolia"
"35966","Pisonia darwinii"
"35968","Pisonia demissa"
"35969","Pisonia domingensis"
"35971","Pisonia donnellsmithii"
"35977","Pisonia duckei"
"35978","Pisonia duseniana"
"35979","Pisonia ekmanii"
"35981","Pisonia elliptica"
"35982","Pisonia flavescens"
"35985","Pisonia floribunda"
"35999","Pisonia florida"
"36002","Pisonia floridana"
"36005","Pisonia fragrans"
"36008","Pisonia grandis"
"36013","Pisonia helleri"
"36016","Pisonia heterophylla"
"36017","Pisonia hirtella"
"36033","Pisonia humilis"
"36035","Pisonia indecora"
"36036","Pisonia irregularis"
"36038","Pisonia itatiaiensis"
"36039","Pisonia laurifolia"
"36042","Pisonia laxiflora"
"36044","Pisonia macranthocarpa"
"36339","Pisonia micrantha"
"36344","Pisonia minor"
"36349","Pisonia moaensis"
"36351","Pisonia multiflora"
"36353","Pisonia nigricans"
"36357","Pisonia obtusata"
"36358","Pisonia ochracea"
"36361","Pisonia paranaensis"
"36362","Pisonia petenensis"
"36366","Pisonia petiolaris"
"36368","Pisonia praecox"
"36369","Pisonia proctorii"
"36370","Pisonia purpusii"
"36375","Pisonia rosea"
"36376","Pisonia rotundata"
"36417","Pisonia rufescens"
"36418","Pisonia sandwicensis"
"36452","Pisonia silvatica"
"36496","Pisonia stellalata"
"36497","Pisonia subcordata"
"36534","Pisonia subferruginosa"
"36535","Pisonia subhispida"
"36537","Pisonia triumbellata"
"36538","Pisonia umbellifera"
"36570","Pisonia variifolia"
"36572","Pisonia velutina"
"36573","Pisonia wagneriana"
"36578","Pisonia zapallo"
"36745","Pisoniella arborescens"
"36807","Pisoniella glabrata"
"36823","Ramisia brasiliensis"
"36859","Reichenbachia colombiana"
"36861","Reichenbachia hirsuta"
"36967","Rivina humilis"
"38787","Rockia sandwicensis"
"38788","Salpianthus aequalis"
"38793","Salpianthus arenarius"
"38853","Salpianthus macrodontus"
"38895","Salpianthus purpurascens"
"39015","Salpianthus standleyi"
"39022","Sarcobatus baileyi"
"40056","Sarcobatus vermiculatus"
"42919","Schindleria densiflora"
"42968","Schindleria racemosa"
"42990","Schindleria rosea"
"42993","Schindleria rosea-aenia"
"42994","Schindleria tomentosa"
"43017","Seguieria americana"
"43741","Seguieria brevithyrsa"
"43774","Seguieria langsdorffii"
"43876","Seguieria macrophylla"
"43922","Seguieria paraguayensis"
"43960","Seguieria parvifolia"
"43983","Selinocarpus nevadensis"
"43984","Selinocarpus purpusianus"
"43988","Senkenbergia annulata"
"43989","Torrubia bracei"
"43994","Torrubia domingensis"
"43998","Torrubia inermis"
"43999","Torrubia longifolia"
"44019","Torrubia obtusata"
"44022","Trichostigma octandrum"
"44426","Trichostigma peruvianum"
"44538","Trichostigma polyandrum"
"44701","Tripterocalyx carneus"
"44833","Tripterocalyx micranthus"
"44834","Tripterocalyx wootonii"
